제목,영상 ID,업로드 날짜,썸네일 URL,영상 길이,조회수,자막 파일
두 개의 버튼으로 모든 것이 결정되는 선택지 게임 (Red or Blue),HYcdcIKOBnA,2025-04-01T13:27:42Z,https://i.ytimg.com/vi/HYcdcIKOBnA/hqdefault.jpg,1:27:21,433770,captions\HYcdcIKOBnA.txt
"엌ㅋㅋㅋㅋ더 미쳤습니다 ""도플갱어 찾는 게임"" 정식 발매!!!",Wwrd0ytQV5E,2025-03-28T10:24:00Z,https://i.ytimg.com/vi/Wwrd0ytQV5E/hqdefault.jpg,0:22:17,546422,captions\Wwrd0ytQV5E.txt
[모바일게임] 3D운전게임 4.0! K5 + 강남 골목길 + 강북 옛날학교 업데이트!!,kkppXbAFPuc,2025-04-29T10:30:26Z,https://i.ytimg.com/vi/kkppXbAFPuc/hqdefault.jpg,0:22:18,14917,captions\kkppXbAFPuc.txt
미용실을 운영하며 돈을 벌어야 하는 게임 (Dooms Hair Salon),F0iwPnwFzDk,2025-03-30T12:22:06Z,https://i.ytimg.com/vi/F0iwPnwFzDk/hqdefault.jpg,2:20:58,496626,captions\F0iwPnwFzDk.txt
미스터리한 농장 실종사건을 조사하기 (공포게임/The Wellmonts Case),UvHomEJY4gU,2025-05-06T13:05:09Z,https://i.ytimg.com/vi/UvHomEJY4gU/hqdefault.jpg,0:59:05,135418,captions\UvHomEJY4gU.txt
지면 안되는 게임을 역전 당하자 완전 빡쳐버린 상대ㄷㄷㄷㄷ 패드립까지 시작하는데....,IRqeOB81j0Q,2025-05-07T02:59:00Z,https://i.ytimg.com/vi/IRqeOB81j0Q/hqdefault.jpg,0:27:06,38661,
핵전쟁을 피해 지하철로 도망친 사람들... 지옥은 바로 그곳에 있었다.,LI1Qbcx-8iU,2024-12-06T12:15:01Z,https://i.ytimg.com/vi/LI1Qbcx-8iU/hqdefault.jpg,0:39:40,682227,captions\LI1Qbcx-8iU.txt
[로블록스] 악마의 영혼이 들어간 영희!! 마지막 오징어 게임을 시작해요!! [악마의 오징어 게임 탈출 1화] - 민또 경또 -,jAbs5OZdEnc,2025-03-08T08:00:39Z,https://i.ytimg.com/vi/jAbs5OZdEnc/hqdefault.jpg,0:29:00,166057,captions\jAbs5OZdEnc.txt
보고도 안 믿겼습니다..한국을 100% 그대로 옮긴 미친 게임 [인조이],7hnlrjv5CWY,2025-04-04T10:15:00Z,https://i.ytimg.com/vi/7hnlrjv5CWY/hqdefault.jpg,0:24:41,2586831,captions\7hnlrjv5CWY.txt
요즘 혜안져스 영상 안올라오는 이유? 이 게임하다 대판 싸웠습니다.,v4lAdkQGIAs,2024-07-12T10:30:20Z,https://i.ytimg.com/vi/v4lAdkQGIAs/hqdefault.jpg,0:29:24,1318448,captions\v4lAdkQGIAs.txt
