제목,영상 ID,업로드 날짜,썸네일 URL,영상 길이,조회수,자막 파일
그는 거짓말의 신입니다.. 라이어 게임,oHcF4iAmEdY,2025-04-09T02:30:29Z,https://i.ytimg.com/vi/oHcF4iAmEdY/hqdefault.jpg,0:43:40,564100,captions\oHcF4iAmEdY.txt
도파민 폭발하는 미친게임 (클로버 핏),LhmFopvUr44,2025-04-29T04:04:45Z,https://i.ytimg.com/vi/LhmFopvUr44/hqdefault.jpg,0:46:58,143494,captions\LhmFopvUr44.txt
나라에서 만든 판사가 되는 게임..하 진짜 어렵다,ZlhKD30J--k,2023-10-12T09:00:19Z,https://i.ytimg.com/vi/ZlhKD30J--k/hqdefault.jpg,0:23:51,1097855,captions\ZlhKD30J--k.txt
오징어 게임을 하는 친구들 스프런키,fzNkz5m8WFM,2025-01-25T00:30:29Z,https://i.ytimg.com/vi/fzNkz5m8WFM/hqdefault.jpg,0:29:49,259151,captions\fzNkz5m8WFM.txt
전부 다 의사인데 사람이 죽는 미친 마피아게임 ㅋㅋㅋ,1az_TSb6kU0,2024-11-22T07:15:39Z,https://i.ytimg.com/vi/1az_TSb6kU0/hqdefault.jpg,0:35:13,620390,captions\1az_TSb6kU0.txt
평범한 이상현상 게임이 아닙니다. 공포의 정도가 미쳤음,c5Ee06m8Uhs,2024-11-10T02:30:21Z,https://i.ytimg.com/vi/c5Ee06m8Uhs/hqdefault.jpg,0:28:03,452612,captions\c5Ee06m8Uhs.txt
보라색치즈케이크님 그땐 죄송했습니다. 팬게임 미친...,ZTHF99x_GuA,2024-07-08T02:30:15Z,https://i.ytimg.com/vi/ZTHF99x_GuA/hqdefault.jpg,0:28:47,1385242,
술게임 벌칙으로 뒷정리를 가장한 모드 풀코스 ㅋㅋ,7uCuDHVN890,2024-11-30T07:06:26Z,https://i.ytimg.com/vi/7uCuDHVN890/hqdefault.jpg,0:42:46,458636,captions\7uCuDHVN890.txt
오랜만에 역대급 비명을 질러버린 무서운 공포게임 (The Maid),4mLCCC1cbqM,2025-03-17T12:56:37Z,https://i.ytimg.com/vi/4mLCCC1cbqM/hqdefault.jpg,0:59:32,330966,captions\4mLCCC1cbqM.txt
"혜안, 아오니랑 6개월만에 협동게임 하니까 잘한다는 개뿔ㅗ",zWT22wWvNUY,2024-12-30T10:42:00Z,https://i.ytimg.com/vi/zWT22wWvNUY/hqdefault.jpg,0:28:23,896111,captions\zWT22wWvNUY.txt
올해 가장 잘 만든 개웃긴 공포게임 2탄 ㅋㅋㅋㅋㅋ,vBnaVko4AVU,2024-03-06T09:06:49Z,https://i.ytimg.com/vi/vBnaVko4AVU/hqdefault.jpg,0:21:39,1268630,captions\vBnaVko4AVU.txt
Scary Teacher 3D vs Squid Game 2 ( 오징어 게임 2) Red Light Green Light Challenge - Who is Faster?,GSa7Qwzyuqo,2025-01-09T08:30:05Z,https://i.ytimg.com/vi/GSa7Qwzyuqo/hqdefault.jpg,0:42:47,1261834,captions\GSa7Qwzyuqo.txt
오늘도 비명을 시원하게 질러버렸네요.. (공포게임/Emberfly),Tkzw3TFX0sM,2025-03-23T13:29:37Z,https://i.ytimg.com/vi/Tkzw3TFX0sM/hqdefault.jpg,0:44:49,268860,captions\Tkzw3TFX0sM.txt
현재 일본에서 난리난 공포게임 해봤는데.. [유괴사건 칠라스아트],v1vSuJYYHf0,2023-11-13T09:23:00Z,https://i.ytimg.com/vi/v1vSuJYYHf0/hqdefault.jpg,0:53:40,1831940,captions\v1vSuJYYHf0.txt
[로블록스] 씨앗을 심었더니 사람보다 큰 돌연변이 식물들이 자라났어요!! [정원 가꾸기 1화] - 민또 경또 -,OqhKCiqj-K0,2025-04-18T08:00:25Z,https://i.ytimg.com/vi/OqhKCiqj-K0/hqdefault.jpg,0:24:49,133465,captions\OqhKCiqj-K0.txt
눈치없으면 못깨는 게임 전세계 랭킹 2위 했습니다,Ug1yN2c8k9I,2025-03-27T02:30:21Z,https://i.ytimg.com/vi/Ug1yN2c8k9I/hqdefault.jpg,0:27:03,382794,captions\Ug1yN2c8k9I.txt
거지 소녀의 오징어 게임 [토카 라이프 월드 ] [아려랑],keA_tjTn2RU,2025-03-15T00:30:06Z,https://i.ytimg.com/vi/keA_tjTn2RU/hqdefault.jpg,0:20:32,64763,captions\keA_tjTn2RU.txt
으스스한 물류창고에서 일을 하는 공포게임 (ORDER 13),C9D84LQ2Mac,2025-03-13T12:30:10Z,https://i.ytimg.com/vi/C9D84LQ2Mac/hqdefault.jpg,2:01:38,329871,captions\C9D84LQ2Mac.txt
그냥 수영장 걷는 공포게임 정식출시했는데...잠 못자겠네요,pIpeUkIFRWk,2024-05-03T09:40:00Z,https://i.ytimg.com/vi/pIpeUkIFRWk/hqdefault.jpg,1:07:38,1020132,captions\pIpeUkIFRWk.txt
한국인 90%는 열불나서 못깨는 자동차 게임,D_Ormkk3Flw,2024-03-07T02:30:05Z,https://i.ytimg.com/vi/D_Ormkk3Flw/hqdefault.jpg,0:22:05,911803,captions\D_Ormkk3Flw.txt
비둘기 리듬게임 1등 개웃기네ㅋㅋㅋㅋㅋㅋ,gvdRggnw4uM,2023-11-09T02:30:28Z,https://i.ytimg.com/vi/gvdRggnw4uM/hqdefault.jpg,0:22:03,1074481,captions\gvdRggnw4uM.txt
부모님 몰래 집을 탈출하는 게임,G4gQHtUymb4,2025-03-13T04:30:07Z,https://i.ytimg.com/vi/G4gQHtUymb4/hqdefault.jpg,0:22:20,236737,captions\G4gQHtUymb4.txt
공속에 몰빵해서 청룡언월도 미친 속도로 휘두르기,h4H_f9yMn4Y,2025-04-26T09:01:03Z,https://i.ytimg.com/vi/h4H_f9yMn4Y/hqdefault.jpg,0:23:10,46653,captions\h4H_f9yMn4Y.txt
이발소 운영하는 게임,Qpel38rTo1w,2025-04-05T08:00:24Z,https://i.ytimg.com/vi/Qpel38rTo1w/hqdefault.jpg,0:22:18,35734,captions\Qpel38rTo1w.txt
병맛겜인줄 알았는데 大명작이었던 The 펭귄게임,I-sCOO8JFOo,2024-03-13T02:30:09Z,https://i.ytimg.com/vi/I-sCOO8JFOo/hqdefault.jpg,0:35:17,1135818,captions\I-sCOO8JFOo.txt
엄청 웃긴 타키와 포오의 모바일 게임 모음 - 캐릭온 모바일 게임,VsCqPcOIF9k,2023-01-24T23:00:15Z,https://i.ytimg.com/vi/VsCqPcOIF9k/hqdefault.jpg,0:45:01,2187708,
제2회 보드게임 동호회,WhgeTCXhQOE,2024-08-20T10:00:29Z,https://i.ytimg.com/vi/WhgeTCXhQOE/hqdefault.jpg,0:29:20,1989465,captions\WhgeTCXhQOE.txt
느리니깐 더 재밌음 ㅋㅋㅋ - 랜덤무기칼싸움,1jp9qgJ7_3M,2025-04-30T06:36:05Z,https://i.ytimg.com/vi/1jp9qgJ7_3M/hqdefault.jpg,1:23:59,97066,captions\1jp9qgJ7_3M.txt
클레르 옵스퀴르 33 원정대 100시간 하드 리뷰 인생 게임 리스트에 추가하겠습니다,9_UYbCpSL6w,2025-05-06T11:00:22Z,https://i.ytimg.com/vi/9_UYbCpSL6w/hqdefault.jpg,0:25:08,11184,captions\9_UYbCpSL6w.txt
영화 같은 몰입감의 고퀄리티 기대작 공포게임 (Luto),9vzijwGnxAU,2025-03-07T12:30:15Z,https://i.ytimg.com/vi/9vzijwGnxAU/hqdefault.jpg,0:31:58,216048,captions\9vzijwGnxAU.txt
실제 이야기를 바탕으로 제작된 오싹한 공포게임 (Woodbury Getaway),tkl1jT597DU,2024-09-23T12:32:39Z,https://i.ytimg.com/vi/tkl1jT597DU/hqdefault.jpg,1:12:52,686305,
[로블록스] 같이 하면 더!! 더!! 더!! 재밌는 최고의 협동 게임 모음!! - 민또 경또 -,DZgEk-0BujQ,2023-11-15T08:00:07Z,https://i.ytimg.com/vi/DZgEk-0BujQ/hqdefault.jpg,1:17:20,706975,captions\DZgEk-0BujQ.txt
경찰 오기전에 범죄현장 청소하는 게임..역대급 큰 리조트 ㄷㄷ,8rokp8QkD9M,2024-11-03T10:22:00Z,https://i.ytimg.com/vi/8rokp8QkD9M/hqdefault.jpg,0:33:58,702385,captions\8rokp8QkD9M.txt
제3회 보드게임 동호회,GyXP9lg9Fz0,2024-09-26T10:00:30Z,https://i.ytimg.com/vi/GyXP9lg9Fz0/hqdefault.jpg,0:30:44,2129960,captions\GyXP9lg9Fz0.txt
무조건 둘 중에 하나 선택해서 탈출해야 하는 게임 - red or blue,PznQBIFSino,2025-04-15T13:29:50Z,https://i.ytimg.com/vi/PznQBIFSino/hqdefault.jpg,0:36:32,107511,captions\PznQBIFSino.txt
정신줄 놓게만드는《병원 경영 시뮬레이터》진짜 개 재밌네 ㅋㅋㅋㅋㅋ,_KeakVUjsUk,2025-03-29T10:29:19Z,https://i.ytimg.com/vi/_KeakVUjsUk/hqdefault.jpg,0:29:41,556763,captions\_KeakVUjsUk.txt
"와..리뷰 740,000개가 극찬입니다 ""농사짓는 게임"" 처음 해볼게요. [스타듀밸리]",aSBZU3RQSQM,2025-04-19T10:26:01Z,https://i.ytimg.com/vi/aSBZU3RQSQM/hqdefault.jpg,0:44:11,447390,
"그냥 오리 쳐다보는 게임, 드디어 엔딩 봤습니ㄷzzz...",WD4WT34oJ3Q,2022-09-16T10:00:18Z,https://i.ytimg.com/vi/WD4WT34oJ3Q/hqdefault.jpg,1:51:02,1252866,captions\WD4WT34oJ3Q.txt
이 순간을 보기 위해 공포게임을 하는 사람,jJ1N433tEEY,2025-05-03T12:02:14Z,https://i.ytimg.com/vi/jJ1N433tEEY/hqdefault.jpg,0:31:15,125167,captions\jJ1N433tEEY.txt
팬게임에서 내가 떨궜던 공이 날 미치게 해...,gaJ7ETD-KiU,2024-08-25T02:30:31Z,https://i.ytimg.com/vi/gaJ7ETD-KiU/hqdefault.jpg,0:33:20,1283285,captions\gaJ7ETD-KiU.txt
정신줄 놓게만드는《병원 경영 시뮬레이터》진짜 개 재밌네 ㅋㅋㅋㅋㅋ,_KeakVUjsUk,2025-03-29T10:29:19Z,https://i.ytimg.com/vi/_KeakVUjsUk/hqdefault.jpg,0:29:41,556763,captions\_KeakVUjsUk.txt
이 순간을 보기 위해 공포게임을 하는 사람,jJ1N433tEEY,2025-05-03T12:02:14Z,https://i.ytimg.com/vi/jJ1N433tEEY/hqdefault.jpg,0:31:15,125167,captions\jJ1N433tEEY.txt
팬게임에서 내가 떨궜던 공이 날 미치게 해...,gaJ7ETD-KiU,2024-08-25T02:30:31Z,https://i.ytimg.com/vi/gaJ7ETD-KiU/hqdefault.jpg,0:33:20,1283285,
4명이 같이 형벌받는 게임,1abtsD573eQ,2025-04-27T02:30:04Z,https://i.ytimg.com/vi/1abtsD573eQ/hqdefault.jpg,0:28:58,218120,
[25.05.04] ✋ 술탄의 게임 유저 한글화 🤚,WbhnGFoW0nY,2025-05-04T23:58:23Z,https://i.ytimg.com/vi/WbhnGFoW0nY/hqdefault.jpg,7:17:13,4721,captions\WbhnGFoW0nY.txt
어두컴컴한 시골의 밤길을 운전하다 생기는 일 (공포게임/AM),-ico5LMydG0,2025-03-21T12:30:00Z,https://i.ytimg.com/vi/-ico5LMydG0/hqdefault.jpg,0:37:49,165339,captions\-ico5LMydG0.txt
비와서 콘텐츠를 못한다고..? 우린 레전드를 뽑아..ㅋㅋ,AhZQf8t8HDA,2025-04-30T10:59:27Z,https://i.ytimg.com/vi/AhZQf8t8HDA/hqdefault.jpg,0:27:48,148011,captions\AhZQf8t8HDA.txt
"[24년 하반기] 생존을 위한 게임사들의 선택, 어떤 결과로 이어질까? (게임사 실적발표 2부 - 카카오게임즈, 엔씨소프트, 펄어비스, 시프트업, 네오위즈) [CC]",dRsOAM8SMs8,2025-04-25T09:00:06Z,https://i.ytimg.com/vi/dRsOAM8SMs8/hqdefault.jpg,0:51:30,181186,captions\dRsOAM8SMs8.txt
맨정신에도 진심 모드로 술게임하는 사람들🍻 ㅋㅋㅋ,b2VOjKk7Ei0,2024-11-03T06:55:22Z,https://i.ytimg.com/vi/b2VOjKk7Ei0/hqdefault.jpg,0:36:03,730696,captions\b2VOjKk7Ei0.txt
관상에서 '왕 게임' 하기,W50DJ4UOo3E,2025-05-04T08:01:34Z,https://i.ytimg.com/vi/W50DJ4UOo3E/hqdefault.jpg,0:51:41,35174,captions\W50DJ4UOo3E.txt
새로운 아오오니 괴물이 나왔다 ㅋㅋㅋㅋ [아오오니 온천 1화],OjFMo6oYyDk,2025-05-04T09:08:31Z,https://i.ytimg.com/vi/OjFMo6oYyDk/hqdefault.jpg,0:30:21,183403,captions\OjFMo6oYyDk.txt
"고장난 우주선에 갇혀버린 생존자들 ""라이어 게임""",eDp_cu0N1sM,2024-10-26T06:41:00Z,https://i.ytimg.com/vi/eDp_cu0N1sM/hqdefault.jpg,0:28:07,477381,captions\eDp_cu0N1sM.txt
쫓고 쫓기는 서바이벌 생존게임,Y92NWM90d24,2023-08-09T05:00:09Z,https://i.ytimg.com/vi/Y92NWM90d24/hqdefault.jpg,0:29:23,3063661,captions\Y92NWM90d24.txt
게임계 끝판왕들이 온다 ! 곧 출시되는 차세대 신작 게임들 총정리,CHPQh1E1b00,2025-04-17T02:18:43Z,https://i.ytimg.com/vi/CHPQh1E1b00/hqdefault.jpg,0:23:49,232049,captions\CHPQh1E1b00.txt
제8회 보드게임 동호회,rNX5Wg20TE4,2025-02-13T10:01:03Z,https://i.ytimg.com/vi/rNX5Wg20TE4/hqdefault.jpg,0:21:39,1131892,captions\rNX5Wg20TE4.txt
미용실 게임인데 멀티가 된다고? ㅋㅋㅋㅋㅋㅋ 꿀잼 - 헤어살롱,78jVhTmbsrg,2025-04-23T08:02:30Z,https://i.ytimg.com/vi/78jVhTmbsrg/hqdefault.jpg,1:27:30,100562,captions\78jVhTmbsrg.txt
기괴한 사건들이 발생하는 병원에서 근무하기 (공포게임/Security: The Horrible Nights),hNBvD9GWyYs,2025-01-04T12:42:12Z,https://i.ytimg.com/vi/hNBvD9GWyYs/hqdefault.jpg,4:21:48,492961,captions\hNBvD9GWyYs.txt
여름이니까 돌아온 수박만들기 스팀게임 Fruit Salad,xkxHIF9Jwec,2024-08-02T23:30:12Z,https://i.ytimg.com/vi/xkxHIF9Jwec/hqdefault.jpg,0:26:26,989756,captions\xkxHIF9Jwec.txt
전혀 안 무섭다 전혀 안 무섭다 전혀 안 무섭다 전혀 안 무섭다 전혀 안 무섭다 전혀 안 무섭다 전혀 안 무섭다 전혀 안 무섭다,cExWz20vsME,2025-01-31T11:25:10Z,https://i.ytimg.com/vi/cExWz20vsME/hqdefault.jpg,2:46:34,1893787,captions\cExWz20vsME.txt
5월 황금연휴 간 즐기는 꿀잼 가득 1부 모바일게임 추천 27가지,DhwH2vV6Nr0,2025-05-02T09:00:29Z,https://i.ytimg.com/vi/DhwH2vV6Nr0/hqdefault.jpg,0:30:17,13118,captions\DhwH2vV6Nr0.txt
생존게임 금쪽이,-cEBuwF9QEA,2023-12-30T08:49:07Z,https://i.ytimg.com/vi/-cEBuwF9QEA/hqdefault.jpg,0:29:26,1774968,captions\-cEBuwF9QEA.txt
기상천외한 무기들로 좀비떼를 막는 게임,UBo9Zf-6N58,2023-11-21T02:30:11Z,https://i.ytimg.com/vi/UBo9Zf-6N58/hqdefault.jpg,0:22:26,1131489,captions\UBo9Zf-6N58.txt
수십종류 괴물이 갇혀있는 귀신의집 퇴마하는 게임,r4LKOiGV1xg,2024-10-22T05:00:40Z,https://i.ytimg.com/vi/r4LKOiGV1xg/hqdefault.jpg,0:41:09,317361,captions\r4LKOiGV1xg.txt
리뷰 3000개가 극찬인 청소게임...왜 재밌냐ㅋㅋㅋㅋㅋㅋㅋㅋ,8Cvj3NFZ7qo,2024-07-14T10:27:00Z,https://i.ytimg.com/vi/8Cvj3NFZ7qo/hqdefault.jpg,0:27:11,1025166,captions\8Cvj3NFZ7qo.txt
"리뷰 7000개가 극찬인 ""그냥 정리하는 게임"" 다운 받아봤는데 개 재밌닼ㅋㅋㅋㅋㅋ",0jnnkY57EKc,2024-05-11T09:44:00Z,https://i.ytimg.com/vi/0jnnkY57EKc/hqdefault.jpg,0:59:12,1239896,captions\0jnnkY57EKc.txt
오줌 지릴뻔한 막장 공포게임 ㅋㅋㅋㅋㅋ,-bMep32lHVI,2024-09-11T09:19:00Z,https://i.ytimg.com/vi/-bMep32lHVI/hqdefault.jpg,0:27:28,313536,captions\-bMep32lHVI.txt
※아만다 공포게임 정식출시※ 근데 퀄리티가 미쳤습니다;;;,BAK8HD_IcrQ,2023-04-27T08:18:06Z,https://i.ytimg.com/vi/BAK8HD_IcrQ/hqdefault.jpg,0:48:41,1452736,captions\BAK8HD_IcrQ.txt
Zombie Border Patrol Game | Quarantine Zone: The Last Check,N_bD6--VjSU,2025-04-30T22:15:01Z,https://i.ytimg.com/vi/N_bD6--VjSU/hqdefault.jpg,1:10:16,1190413,captions\N_bD6--VjSU.txt
김민교 게임 보자마자 배설 못참아버린 라스칼 스승님...,Qwx4Vnnk6GM,2025-04-19T11:05:58Z,https://i.ytimg.com/vi/Qwx4Vnnk6GM/hqdefault.jpg,0:28:06,425856,captions\Qwx4Vnnk6GM.txt
웃참맨 인생 첫 공포게임,pHsRXTnyh90,2025-04-06T03:57:28Z,https://i.ytimg.com/vi/pHsRXTnyh90/hqdefault.jpg,0:46:26,329122,captions\pHsRXTnyh90.txt
이곳에 들어간 사람은 다시는 돌아오지 못한다 (공포게임),wt8YtLQvDZQ,2025-03-03T12:45:11Z,https://i.ytimg.com/vi/wt8YtLQvDZQ/hqdefault.jpg,0:33:21,214045,captions\wt8YtLQvDZQ.txt
사람 미치게 하는 게임,NWbrdLM4sH8,2025-03-19T13:00:29Z,https://i.ytimg.com/vi/NWbrdLM4sH8/hqdefault.jpg,0:20:19,688196,captions\NWbrdLM4sH8.txt
니케 - 미니게임 BUBBLE MARCH / 보통,pRfuLWPvU68,2025-05-02T15:15:25Z,https://i.ytimg.com/vi/pRfuLWPvU68/hqdefault.jpg,0:24:29,3034,captions\pRfuLWPvU68.txt
병맛 겜인줄? 근데 스토리까지 개쌈뽕하게 재미진 게임,HpiUwCsBsWs,2024-03-26T02:30:14Z,https://i.ytimg.com/vi/HpiUwCsBsWs/hqdefault.jpg,0:51:28,1005048,captions\HpiUwCsBsWs.txt
※30분 순삭※ 혜안져스 러시안룰렛 라이어게임 ㄷㄷ,46oTRe7RFVM,2024-11-18T10:44:18Z,https://i.ytimg.com/vi/46oTRe7RFVM/hqdefault.jpg,0:27:58,1143812,captions\46oTRe7RFVM.txt
수박 게임 | 궤도는 수박도 과학적으로 잘 만들까?,T5sNu7wuoQw,2024-02-12T11:00:19Z,https://i.ytimg.com/vi/T5sNu7wuoQw/hqdefault.jpg,0:29:08,1043304,captions\T5sNu7wuoQw.txt
"리뷰 8000개가 극찬인 ""그냥 정리하는 게임"" 또 나왔습니닼ㅋㅋㅋㅋㅋㅋ",PhZEPwlb5TI,2024-08-05T10:15:01Z,https://i.ytimg.com/vi/PhZEPwlb5TI/hqdefault.jpg,0:57:14,797867,captions\PhZEPwlb5TI.txt
재밌는 게임을 하는 친구들 스프런키,_kA0MzdINGM,2025-05-01T08:00:38Z,https://i.ytimg.com/vi/_kA0MzdINGM/hqdefault.jpg,0:31:32,116582,captions\_kA0MzdINGM.txt
[케인] 리그 오브 레전드 격투게임 아빠킹과 대전 (2XKO),I0fQqXXj5RU,2025-04-29T10:30:09Z,https://i.ytimg.com/vi/I0fQqXXj5RU/hqdefault.jpg,0:22:40,89277,captions\I0fQqXXj5RU.txt
어떤 소원이든 반드시 들어준다는 고대 의식 (공포게임/七日参り),9MgCme2wGCs,2025-03-19T12:44:04Z,https://i.ytimg.com/vi/9MgCme2wGCs/hqdefault.jpg,0:40:46,223442,captions\9MgCme2wGCs.txt
역대급 게임 고인물 대회가 열렸습니다ㅋㅋㅋㅋㅋ,NakCZODK7E8,2025-03-06T10:30:11Z,https://i.ytimg.com/vi/NakCZODK7E8/hqdefault.jpg,0:25:42,217768,captions\NakCZODK7E8.txt
진짜 안 무서운 공포게임🥲,NodtbOFZJYA,2025-03-16T02:30:13Z,https://i.ytimg.com/vi/NodtbOFZJYA/hqdefault.jpg,0:40:57,282930,captions\NodtbOFZJYA.txt
파피플레이타임보다 더 무서운 공포게임....[반반의 어린이집],B509G_7TWNM,2023-01-20T03:00:04Z,https://i.ytimg.com/vi/B509G_7TWNM/hqdefault.jpg,0:20:08,2006886,captions\B509G_7TWNM.txt
집주소를 털어버리는 미친 공포게임....,kCfWbhzDbrM,2024-04-17T07:00:31Z,https://i.ytimg.com/vi/kCfWbhzDbrM/hqdefault.jpg,0:26:59,1110667,captions\kCfWbhzDbrM.txt
5월 황금연휴 킬링타임 꿀겜 가득 2부 모바일게임 추천 28가지,_uU063rSt_0,2025-05-04T03:00:41Z,https://i.ytimg.com/vi/_uU063rSt_0/hqdefault.jpg,0:27:48,9500,captions\_uU063rSt_0.txt
수녀원에서 일을 너무 열심히 하면 벌어지는 일 ㅋㅋㅋㅋ - (수녀 게임/Matriarch),SCHJwaynvKs,2024-09-15T03:00:30Z,https://i.ytimg.com/vi/SCHJwaynvKs/hqdefault.jpg,0:24:08,1108614,captions\SCHJwaynvKs.txt
바보들한테 목숨까지 맡겨야하는 극한 신뢰게임,F4T4vkMX4kk,2024-11-26T06:41:47Z,https://i.ytimg.com/vi/F4T4vkMX4kk/hqdefault.jpg,0:34:40,498386,captions\F4T4vkMX4kk.txt
리뷰 820개중 819개가 극찬인 공포게임 다운 받아봤습니다 [나쁜 육아],jcb5aau5WxY,2024-11-09T10:16:35Z,https://i.ytimg.com/vi/jcb5aau5WxY/hqdefault.jpg,0:26:07,623832,
국산 무료게임이 이렇게 재밌어서 충격 🥳,DX5yEEVc0BQ,2025-05-03T08:26:14Z,https://i.ytimg.com/vi/DX5yEEVc0BQ/hqdefault.jpg,0:47:10,41541,captions\DX5yEEVc0BQ.txt
유리병 살인마 박종우【마인크래프트 생존게임】,T4VQX0kkImI,2025-05-04T10:31:16Z,https://i.ytimg.com/vi/T4VQX0kkImI/hqdefault.jpg,0:50:03,76468,
