영상 ID,군집 번호,조회수
wCvjv7iMqjE,2,142226.0
WD4WT34oJ3Q,1,1252866.0
wF7O72urgK0,2,1755889.0
WFB2gMBBnNo,2,169032.0
WhgeTCXhQOE,1,1989465.0
WljH6JM920s,2,81869.0
WM3Ulg8f0pE,2,238756.0
wt8YtLQvDZQ,2,214045.0
Wwrd0ytQV5E,1,546422.0
WxDBPx_XFdM,2,326658.0
xAguBIBln7Q,1,1193357.0
XasZPS7nZdM,2,683940.0
xBoG3jnT5SY,1,733027.0
xkxHIF9Jwec,1,989756.0
XWYYg8aRcFY,1,2642137.0
Y68VR7Y_Wms,2,210053.0
Y92NWM90d24,1,3063661.0
yBULTA0ex_8,2,150169.0
yxv986VoeI0,1,535708.0
YY2fRFxb3V0,2,84943.0
zgEc87VUfl4,2,1005372.0
zlGjk4m5_nc,1,6687.0
ZlhKD30J--k,1,1097855.0
zmxvvFgZtY0,2,115753.0
zT7fVNAz4dc,1,33624.0
ZTHF99x_GuA,2,1385242.0
zWT22wWvNUY,2,896111.0
_CybRXVZw3c,1,188546.0
_JgcIumrk-8,2,205109.0
_kA0MzdINGM,1,116582.0
_KeakVUjsUk,2,556763.0
_KeakVUjsUk,2,556763.0
_uU063rSt_0,1,9500.0
