channelId,channelTitle
UCvKpgNW35baiRtrv--PUxVA,늘그니 롤라이프
UCAm_jqzDWvp2n15MnQVtJJg,롤계란
UC6KlYX-KRIyZ6uvJdEc8kMw,롤 나미 저장소
UCyTV6_DLIiZJy1T8SZZEEpg,언럭키롤붕이
UCeoUnQBoxZx7HzJfqKaip6g,F롤TV
UCxhFmbhqrQTREeppYW0gsxA,ALT 아마추어 롤 팀 리그
UCsnKfwH6e5CyNHLP24tOEBQ,롤창겜
UCFl1mGlf5j0Qno1Kxnyv6FA,Skill Capped Challenger LoL Guides
UCihXmKgCRYKCxMwNKOwq2mQ,렛츠롤&아이들
UCmGW06YeJgx8r8cIQJUt5jg,꿀벌 [ 롤 매드무비 ]
UCWrRHCMPT1QekfTObvF-ogQ,진그리롤
UC6s6900kCT8dDcytMTTKiOw,케케롤
UCrWtXRLwsuwRKHROKJe0bzg,롤갤러
UCezQDQjZJ7cRrMKMwtT9gTA,전지롤
UCo3Vwg8N4XDDIGxBzee0kwg,뮤직롤
UCR7QrhhLLxuWhLH6xX9nPsA,스낵롤(LOL)
UCIJswzd07JQofhj7MpRBjKQ,THIRD[롤 백과사전]
UCqRGONW_MPKuOEnIOOiKnwg,롤찐따
UCea9Ns818gIFALHne259ENw,롤재궁
UCtNFMoUf7YkH8nAqmfR2qpg,롤범인2
UCANml9qe25fbdGnVLxZqIJw,스낵롤_LoL Quiz
UCwxtkqUvQqrRbEvaFFHDuUQ,롤체하는_삼디
UCTJ6I_nEKtUe1SFUBeWU1zQ,롤하는 띠모
UCHc3VPFtio-XAjUsoHCfqbQ,라쿤롤
UCHsxgIsWgc4Blx3AASmbG9w,롤시그
UC-3itBOnqIKeYzlNN9zFO6Q,바의 롤교실
UC_8JqoD9r2_UFzclpq1siBQ,롤플러
UCwiV4Cc_0FMRaw4a6RmXpgg,롤 다이아 가기
UC1HGBgkL9X_Tyo4MU5Kt7rg,명예의 롤 전당
UCS6w4mqm4sBp08xRoFyBrhw,롤아리아
