video_id,reason
78uqHAcMmtc,video_unavailable
NWpUk44ptqg,video_unavailable
tainz6ecNJw,list_error: '_TranslationLanguage' object is not subscriptable
6R-1XNYKD70,video_unavailable
k3NBLxDK3_A,video_unavailable
vL-Vxib6GSI,video_unavailable
fWmaC4ZG2B4,video_unavailable
Wi3Pw6GqgUI,video_unavailable
7JSuCBqvbRg,video_unavailable
HHQxoWIKfFY,video_unavailable
kpcxU_P29nU,video_unavailable
dSfH8fr1Pb8,video_unavailable
fBHbD5fhYwg,video_unavailable
ZsZeGcQXFr4,video_unavailable
KOYeIHr6r00,list_error: '_TranslationLanguage' object is not subscriptable
z3G1Enhp5N4,list_error: '_TranslationLanguage' object is not subscriptable
7sq-KI2c-Jo,video_unavailable
xKbCDtbylGQ,list_error: '_TranslationLanguage' object is not subscriptable
JKq5rjJWG4Q,list_error: '_TranslationLanguage' object is not subscriptable
iBMg-pJnrqU,list_error: '_TranslationLanguage' object is not subscriptable
g8huMEIGT3Q,video_unavailable
_OMf8G1apvU,video_unavailable
_EhMcVf8wFk,video_unavailable
eantdfIotfU,list_error: '_TranslationLanguage' object is not subscriptable
xbuSActtJAQ,list_error: '_TranslationLanguage' object is not subscriptable
Xe6PrjVz9Ec,list_error: '_TranslationLanguage' object is not subscriptable
jUPo_dcBpZQ,list_error: '_TranslationLanguage' object is not subscriptable
7bSWG93I6v4,list_error: '_TranslationLanguage' object is not subscriptable
UGaS4ORtVvQ,video_unavailable
J2sP6DSA2fY,video_unavailable
3FEbBLEtWVQ,video_unavailable
hNVgj8EIWps,video_unavailable
whkp3OPpl_s,video_unavailable
P3dWr660alE,video_unavailable
58THy2blnTM,video_unavailable
ce-W4Kd6pfs,list_error: '_TranslationLanguage' object is not subscriptable
Y55TOd3iVUw,list_error: '_TranslationLanguage' object is not subscriptable
AWzpS8sjqV8,list_error: '_TranslationLanguage' object is not subscriptable
4mXUMpS24mA,video_unavailable
sQM-WvzNHJQ,video_unavailable
xhlstZEEOg0,video_unavailable
Wrtmn3cIby4,list_error: '_TranslationLanguage' object is not subscriptable
k5LF7VLQXD4,list_error: '_TranslationLanguage' object is not subscriptable
Gz4lzK8wceM,video_unavailable
UTAbQHcbGEc,list_error: '_TranslationLanguage' object is not subscriptable
6xEQS7OlElM,video_unavailable
xW9LWO7mOuY,video_unavailable
r6CTIxLbQmA,video_unavailable
B5gcO55UPH0,list_error: '_TranslationLanguage' object is not subscriptable
E1vS_ydmrFs,list_error: '_TranslationLanguage' object is not subscriptable
nCgC6V9stok,list_error: '_TranslationLanguage' object is not subscriptable
Xm3Iuq2E7jI,video_unavailable
Rc7jLIrZUdw,list_error: '_TranslationLanguage' object is not subscriptable
0L1GOpyspec,video_unavailable
duVSSPczWKo,video_unavailable
ark_mGwv1P8,video_unavailable
